sofifa_id,player_url,short_name,age,weight_kg,nationality,club,overall,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,team_position,team_jersey_number,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning
201024,https://sofifa.com/player/201024/kalidou-koulibaly/20/159586,K. Koulibaly,28,89,Senegal,Napoli,89,CB,Right,3,3,2,Medium/High,LCB,26.0,2021.0,,,71.0,28.0,54.0,67.0,89.0,87.0,,,,,,
202126,https://sofifa.com/player/202126/harry-kane/20/159586,H. Kane,25,89,England,Tottenham Hotspur,89,ST,Right,3,4,3,High/High,ST,10.0,2024.0,ST,9.0,70.0,91.0,79.0,81.0,47.0,83.0,,,,,,
212831,https://sofifa.com/player/212831/alisson-ramses-becker/20/159586,Alisson,26,91,Brazil,Liverpool,89,GK,Right,3,3,1,Medium/Medium,GK,1.0,2024.0,,,,,,,,,85.0,84.0,85.0,89.0,51.0,90.0
193080,https://sofifa.com/player/193080/david-de-gea-quintana/20/159586,De Gea,28,82,Spain,Manchester United,89,GK,Right,4,3,1,Medium/Medium,GK,1.0,2020.0,GK,1.0,,,,,,,90.0,84.0,81.0,92.0,58.0,85.0
215914,https://sofifa.com/player/215914/ngolo-kante/20/159586,N. KantÃ©,28,72,France,Chelsea,89,"CDM, CM",Right,3,3,2,Medium/High,RCM,7.0,2023.0,LDM,13.0,78.0,65.0,77.0,81.0,87.0,83.0,,,,,,
138956,https://sofifa.com/player/138956/giorgio-chiellini/20/159586,G. Chiellini,34,85,Italy,Juventus,89,CB,Left,4,3,2,Medium/High,LCB,3.0,2020.0,LCB,3.0,68.0,46.0,58.0,60.0,90.0,82.0,,,,,,
153079,https://sofifa.com/player/153079/sergio-aguero/20/159586,S. AgÃ¼ero,31,70,Argentina,Manchester City,89,ST,Right,4,4,4,High/Medium,ST,10.0,2021.0,ST,9.0,80.0,90.0,77.0,88.0,33.0,74.0,,,,,,
155862,https://sofifa.com/player/155862/sergio-ramos-garcia/20/159586,Sergio Ramos,33,82,Spain,Real Madrid,89,CB,Right,4,3,3,High/Medium,LCB,4.0,2020.0,RCB,15.0,72.0,68.0,75.0,73.0,87.0,85.0,,,,,,
176580,https://sofifa.com/player/176580/luis-suarez/20/159586,L. SuÃ¡rez,32,86,Uruguay,FC Barcelona,89,ST,Right,5,4,3,High/Medium,ST,9.0,2021.0,,,73.0,89.0,80.0,84.0,51.0,84.0,,,,,,
188545,https://sofifa.com/player/188545/robert-lewandowski/20/159586,R. Lewandowski,30,80,Poland,FC Bayern MÃ¼nchen,89,ST,Right,4,4,4,High/Medium,ST,9.0,2021.0,LS,9.0,77.0,87.0,74.0,85.0,41.0,82.0,,,,,,
189511,https://sofifa.com/player/189511/sergio-busquets-burgos/20/159586,Sergio Busquets,30,76,Spain,FC Barcelona,89,"CDM, CM",Right,4,3,3,Medium/Medium,CDM,5.0,2023.0,CDM,5.0,42.0,62.0,80.0,80.0,85.0,80.0,,,,,,
194765,https://sofifa.com/player/194765/antoine-griezmann/20/159586,A. Griezmann,28,73,France,FC Barcelona,89,"CF, ST, LW",Left,4,3,4,High/High,LW,17.0,2024.0,CAM,7.0,81.0,86.0,84.0,89.0,57.0,72.0,,,,,,
211110,https://sofifa.com/player/211110/paulo-dybala/20/159586,P. Dybala,25,75,Argentina,Juventus,88,"CAM, RW",Left,3,3,4,Medium/Medium,RW,10.0,2022.0,CF,21.0,83.0,82.0,84.0,90.0,43.0,64.0,,,,,,
195864,https://sofifa.com/player/195864/paul-pogba/20/159586,P. Pogba,26,84,France,Manchester United,88,"CM, CDM",Right,4,4,5,High/Medium,LDM,6.0,2021.0,RDM,6.0,74.0,81.0,86.0,85.0,66.0,86.0,,,,,,
210257,https://sofifa.com/player/210257/ederson-santana-de-moraes/20/159586,Ederson,25,86,Brazil,Manchester City,88,GK,Left,2,3,1,Medium/Medium,GK,31.0,2024.0,,,,,,,,,86.0,82.0,93.0,88.0,63.0,86.0
202652,https://sofifa.com/player/202652/raheem-sterling/20/159586,R. Sterling,24,69,England,Manchester City,88,"RW, LW",Right,3,3,4,High/Medium,LW,7.0,2023.0,LW,10.0,93.0,79.0,78.0,89.0,45.0,57.0,,,,,,
190460,https://sofifa.com/player/190460/christian-eriksen/20/159586,C. Eriksen,27,76,Denmark,Tottenham Hotspur,88,"CAM, CM",Right,3,5,4,High/High,RM,23.0,2020.0,CAM,10.0,73.0,81.0,90.0,84.0,53.0,63.0,,,,,,
192119,https://sofifa.com/player/192119/thibaut-courtois/20/159586,T. Courtois,27,96,Belgium,Real Madrid,88,GK,Left,4,2,1,Medium/Medium,GK,13.0,2024.0,GK,1.0,,,,,,,85.0,89.0,72.0,87.0,49.0,85.0
152729,https://sofifa.com/player/152729/gerard-pique-bernabeu/20/159586,PiquÃ©,32,85,Spain,FC Barcelona,88,CB,Right,4,3,2,High/Medium,RCB,3.0,2022.0,,,56.0,61.0,72.0,68.0,88.0,80.0,,,,,,
162835,https://sofifa.com/player/162835/samir-handanovic/20/159586,S. HandanoviÄ,34,92,Slovenia,Inter,88,GK,Right,3,2,1,Medium/Medium,GK,1.0,2021.0,,,,,,,,,88.0,85.0,69.0,89.0,53.0,89.0
167495,https://sofifa.com/player/167495/manuel-neuer/20/159586,M. Neuer,33,92,Germany,FC Bayern MÃ¼nchen,88,GK,Right,5,4,1,Medium/Medium,GK,1.0,2021.0,GK,1.0,,,,,,,87.0,87.0,91.0,87.0,57.0,85.0
167948,https://sofifa.com/player/167948/hugo-lloris/20/159586,H. Lloris,32,82,France,Tottenham Hotspur,88,GK,Left,4,1,1,Medium/Medium,GK,1.0,2022.0,GK,1.0,,,,,,,89.0,82.0,68.0,91.0,63.0,84.0
168542,https://sofifa.com/player/168542/david-josue-jimenez-silva/20/159586,David Silva,33,67,Spain,Manchester City,88,"CAM, CM",Left,4,2,4,High/Medium,LCM,21.0,2020.0,,,65.0,74.0,88.0,89.0,52.0,57.0,,,,,,
179813,https://sofifa.com/player/179813/edinson-cavani/20/159586,E. Cavani,32,77,Uruguay,Paris Saint-Germain,88,ST,Right,4,4,3,High/High,ST,9.0,2020.0,,,75.0,86.0,72.0,79.0,55.0,83.0,,,,,,
182493,https://sofifa.com/player/182493/diego-godin/20/159586,D. GodÃ­n,33,78,Uruguay,Inter,88,CB,Right,3,3,2,Medium/High,RCB,2.0,2022.0,,,60.0,48.0,64.0,61.0,89.0,83.0,,,,,,
182521,https://sofifa.com/player/182521/toni-kroos/20/159586,T. Kroos,29,76,Germany,Real Madrid,88,CM,Right,4,5,3,Medium/Medium,LCM,8.0,2023.0,SUB,8.0,45.0,80.0,90.0,81.0,70.0,69.0,,,,,,
188350,https://sofifa.com/player/188350/marco-reus/20/159586,M. Reus,30,71,Germany,Borussia Dortmund,88,"CAM, LM, ST",Right,4,4,4,High/Medium,CAM,11.0,2023.0,ST,11.0,85.0,88.0,84.0,87.0,45.0,66.0,,,,,,
188567,https://sofifa.com/player/188567/pierre-emerick-aubameyang/20/159586,P. Aubameyang,30,80,Gabon,Arsenal,88,"ST, LM",Right,3,4,4,Medium/Low,LM,14.0,2021.0,,,94.0,85.0,75.0,80.0,37.0,69.0,,,,,,
208722,https://sofifa.com/player/208722/sadio-mane/20/159586,S. ManÃ©,27,69,Senegal,Liverpool,88,"LW, LM",Right,3,4,4,High/Medium,LW,10.0,2023.0,,,94.0,83.0,77.0,89.0,44.0,74.0,,,,,,
212218,https://sofifa.com/player/212218/aymeric-laporte/20/159586,A. Laporte,25,85,France,Manchester City,87,"CB, LB",Left,2,3,2,Medium/Medium,LCB,14.0,2024.0,,,64.0,50.0,71.0,68.0,88.0,82.0,,,,,,
218667,https://sofifa.com/player/218667/bernardo-mota-carvalho-e-silva/20/159586,Bernardo Silva,24,64,Portugal,Manchester City,87,"RW, CAM, CM",Left,2,3,4,High/High,RW,20.0,2024.0,CAM,10.0,81.0,76.0,83.0,92.0,51.0,67.0,,,,,,
200145,https://sofifa.com/player/200145/carlos-henrique-venancio-casimiro/20/159586,Casemiro,27,84,Brazil,Real Madrid,87,CDM,Right,3,3,2,Medium/High,CDM,14.0,2021.0,,,62.0,72.0,75.0,72.0,85.0,89.0,,,,,,
200104,https://sofifa.com/player/200104/heung-min-son/20/159586,H. Son,26,78,Korea Republic,Tottenham Hotspur,87,"CF, LM",Right,3,5,4,High/High,LM,7.0,2023.0,,,88.0,86.0,80.0,87.0,42.0,68.0,,,,,,
135507,https://sofifa.com/player/135507/fernando-luiz-rosa/20/159586,Fernandinho,34,67,Brazil,Manchester City,87,CDM,Right,3,4,3,Medium/High,CDM,25.0,2020.0,,,66.0,74.0,79.0,78.0,84.0,79.0,,,,,,
164240,https://sofifa.com/player/164240/thiago-emiliano-da-silva/20/159586,Thiago Silva,34,82,Brazil,Paris Saint-Germain,87,CB,Right,4,3,2,Medium/High,LCB,2.0,2020.0,,,62.0,54.0,72.0,72.0,87.0,78.0,,,,,,
165153,https://sofifa.com/player/165153/karim-benzema/20/159586,K. Benzema,31,81,France,Real Madrid,87,"CF, ST",Right,4,4,4,Medium/Low,CF,9.0,2021.0,,,76.0,82.0,80.0,86.0,39.0,77.0,,,,,,
172871,https://sofifa.com/player/172871/jan-vertonghen/20/159586,J. Vertonghen,32,86,Belgium,Tottenham Hotspur,87,CB,Left,3,3,3,High/High,LCB,5.0,2020.0,LCB,5.0,63.0,63.0,74.0,72.0,87.0,79.0,,,,,,
175943,https://sofifa.com/player/175943/dries-mertens/20/159586,D. Mertens,32,61,Belgium,Napoli,87,"CF, ST",Right,3,4,4,High/Low,SUB,14.0,2020.0,RF,14.0,88.0,83.0,80.0,91.0,35.0,53.0,,,,,,
178603,https://sofifa.com/player/178603/mats-hummels/20/159586,M. Hummels,30,94,Germany,Borussia Dortmund,87,CB,Right,4,3,3,High/Medium,LCB,15.0,2022.0,,,51.0,58.0,76.0,72.0,89.0,76.0,,,,,,
184087,https://sofifa.com/player/184087/toby-alderweireld/20/159586,T. Alderweireld,30,81,Belgium,Tottenham Hotspur,87,CB,Right,3,3,2,Medium/Medium,RCB,4.0,2020.0,RCB,2.0,64.0,55.0,72.0,66.0,88.0,79.0,,,,,,
189332,https://sofifa.com/player/189332/jordi-alba-ramos/20/159586,Jordi Alba,30,68,Spain,FC Barcelona,87,LB,Left,3,3,3,High/Medium,LB,18.0,2024.0,LB,18.0,90.0,69.0,81.0,83.0,79.0,73.0,,,,,,
189509,https://sofifa.com/player/189509/thiago-alcantara/20/159586,Thiago,28,70,Spain,FC Bayern MÃ¼nchen,87,"CM, CAM, CDM",Right,3,3,5,Medium/Medium,CDM,6.0,2021.0,RCM,10.0,69.0,74.0,85.0,90.0,69.0,63.0,,,,,,
193041,https://sofifa.com/player/193041/keylor-navas/20/159586,K. Navas,32,80,Costa Rica,Real Madrid,87,GK,Right,3,3,1,Medium/Medium,SUB,1.0,2020.0,,,,,,,,,90.0,81.0,75.0,90.0,53.0,82.0
198219,https://sofifa.com/player/198219/lorenzo-insigne/20/159586,L. Insigne,28,59,Italy,Napoli,87,"CF, LW, ST",Right,3,4,4,High/Medium,LS,24.0,2022.0,LW,10.0,89.0,79.0,85.0,91.0,35.0,47.0,,,,,,
222492,https://sofifa.com/player/222492/leroy-sane/20/159586,L. SanÃ©,23,75,Germany,Manchester City,86,LW,Left,2,3,4,High/Medium,SUB,19.0,2021.0,LW,19.0,95.0,81.0,79.0,86.0,38.0,70.0,,,,,,
207865,https://sofifa.com/player/207865/marcos-aoas-correa/20/159586,Marquinhos,25,75,Brazil,Paris Saint-Germain,86,"CB, CDM",Right,3,3,3,Medium/High,RCB,5.0,2022.0,,,74.0,41.0,73.0,70.0,86.0,77.0,,,,,,
232363,https://sofifa.com/player/232363/milan-skriniar/20/159586,M. Å kriniar,24,80,Slovakia,Inter,86,CB,Right,1,4,2,Medium/High,LCB,37.0,2023.0,,,69.0,41.0,59.0,66.0,87.0,82.0,,,,,,
199556,https://sofifa.com/player/199556/marco-verratti/20/159586,M. Verratti,26,60,Italy,Paris Saint-Germain,86,"CM, CDM",Right,3,4,4,Medium/High,RCM,6.0,2021.0,LCM,6.0,65.0,60.0,84.0,90.0,79.0,66.0,,,,,,
205600,https://sofifa.com/player/205600/samuel-umtiti/20/159586,S. Umtiti,25,75,France,FC Barcelona,86,CB,Left,3,3,2,Medium/High,SUB,23.0,2023.0,LCB,5.0,69.0,63.0,69.0,69.0,86.0,82.0,,,,,,
186153,https://sofifa.com/player/186153/wojciech-szczesny/20/159586,W. SzczÄsny,29,90,Poland,Juventus,86,GK,Right,3,3,1,Medium/Medium,GK,1.0,2021.0,GK,1.0,,,,,,,85.0,82.0,73.0,88.0,49.0,86.0
212622,https://sofifa.com/player/212622/joshua-kimmich/20/159586,J. Kimmich,24,73,Germany,FC Bayern MÃ¼nchen,86,"RB, CM, CDM",Right,3,4,3,High/Low,RB,32.0,2023.0,CDM,6.0,72.0,69.0,86.0,84.0,79.0,78.0,,,,,,
197781,https://sofifa.com/player/197781/francisco-roman-alarcon-suarez/20/159586,Isco,27,79,Spain,Real Madrid,86,"CAM, CM, LW",Right,3,3,4,Medium/Low,SUB,22.0,2022.0,LW,22.0,71.0,77.0,83.0,91.0,59.0,60.0,,,,,,
201942,https://sofifa.com/player/201942/roberto-firmino-barbosa-de-oliveira/20/159586,Roberto Firmino,27,76,Brazil,Liverpool,86,"CF, ST, CAM",Right,3,4,4,High/High,CF,9.0,2023.0,,,77.0,82.0,80.0,87.0,61.0,78.0,,,,,,
168651,https://sofifa.com/player/168651/ivan-rakitic/20/159586,I. RakitiÄ,31,78,Croatia,FC Barcelona,86,"CM, CDM",Right,4,4,3,Medium/Medium,RCM,4.0,2021.0,,,62.0,81.0,86.0,81.0,74.0,70.0,,,,,,
180206,https://sofifa.com/player/180206/miralem-pjanic/20/159586,M. PjaniÄ,29,72,Bosnia Herzegovina,Juventus,86,"CM, CDM",Right,3,4,3,Medium/Medium,CDM,5.0,2023.0,,,68.0,68.0,87.0,85.0,75.0,67.0,,,,,,
183898,https://sofifa.com/player/183898/angel-di-maria/20/159586,A. Di MarÃ­a,31,69,Argentina,Paris Saint-Germain,86,"RW, LW",Left,4,2,5,High/Medium,LW,11.0,2021.0,RM,11.0,84.0,79.0,84.0,87.0,48.0,68.0,,,,,,
184344,https://sofifa.com/player/184344/leonardo-bonucci/20/159586,L. Bonucci,32,85,Italy,Juventus,86,CB,Right,3,4,2,Low/High,RCB,19.0,2023.0,RCB,19.0,58.0,58.0,69.0,70.0,87.0,79.0,,,,,,
189242,https://sofifa.com/player/189242/philippe-coutinho-correia/20/159586,Coutinho,27,68,Brazil,FC Bayern MÃ¼nchen,86,"LW, CM",Right,3,4,5,High/Medium,LCM,10.0,2020.0,,,79.0,80.0,84.0,90.0,52.0,64.0,,,,,,
189513,https://sofifa.com/player/189513/daniel-parejo-munoz/20/159586,Parejo,30,74,Spain,Valencia CF,86,CM,Right,2,4,3,Medium/Medium,RCM,10.0,2022.0,,,41.0,80.0,88.0,79.0,70.0,69.0,,,,,,
189596,https://sofifa.com/player/189596/thomas-muller/20/159586,T. MÃ¼ller,29,75,Germany,FC Bayern MÃ¼nchen,86,"CAM, RM, RW",Right,4,4,3,High/High,SUB,25.0,2021.0,,,72.0,83.0,79.0,78.0,55.0,71.0,,,,,,
192387,https://sofifa.com/player/192387/ciro-immobile/20/159586,C. Immobile,29,85,Italy,Lazio,86,ST,Right,3,4,3,High/Medium,ST,17.0,2023.0,ST,17.0,80.0,85.0,63.0,81.0,39.0,76.0,,,,,,
193301,https://sofifa.com/player/193301/alexandre-lacazette/20/159586,A. Lacazette,28,73,France,Arsenal,86,ST,Right,3,4,4,High/High,ST,9.0,2022.0,,,82.0,85.0,75.0,86.0,40.0,74.0,,,,,,
235243,https://sofifa.com/player/235243/matthijs-de-ligt/20/159586,M. de Ligt,19,89,Netherlands,Juventus,85,CB,Right,3,4,2,Medium/High,SUB,4.0,2024.0,RCB,3.0,67.0,58.0,66.0,68.0,83.0,84.0,,,,,,
230621,https://sofifa.com/player/230621/gianluigi-donnarumma/20/159586,G. Donnarumma,20,90,Italy,Milan,85,GK,Right,3,3,1,Medium/Medium,GK,99.0,2021.0,GK,22.0,,,,,,,90.0,80.0,74.0,90.0,50.0,80.0
228702,https://sofifa.com/player/228702/frenkie-de-jong/20/159586,F. de Jong,22,74,Netherlands,FC Barcelona,85,"CM, CDM",Right,3,3,4,Medium/High,LCM,21.0,2024.0,LDM,21.0,79.0,64.0,84.0,87.0,76.0,76.0,,,,,,
201535,https://sofifa.com/player/201535/raphael-varane/20/159586,R. Varane,26,81,France,Real Madrid,85,CB,Right,3,3,2,Medium/High,RCB,5.0,2022.0,RCB,4.0,83.0,45.0,62.0,63.0,85.0,80.0,,,,,,
212190,https://sofifa.com/player/212190/niklas-sule/20/159586,N. SÃ¼le,23,97,Germany,FC Bayern MÃ¼nchen,85,CB,Right,2,3,2,Medium/Medium,RCB,4.0,2022.0,RCB,15.0,72.0,42.0,55.0,50.0,86.0,82.0,,,,,,
223848,https://sofifa.com/player/223848/sergej-milinkovic-savic/20/159586,S. MilinkoviÄ-SaviÄ,24,76,Serbia,Lazio,85,"CM, CAM",Right,2,4,4,High/Medium,RDM,21.0,2023.0,,,67.0,79.0,80.0,83.0,77.0,84.0,,,,,,
231866,https://sofifa.com/player/231866/rodrigo-hernandez-cascante/20/159586,Rodri,23,82,Spain,Manchester City,85,"CDM, CM",Right,2,4,3,Medium/High,SUB,16.0,2024.0,SUB,16.0,67.0,68.0,77.0,77.0,82.0,80.0,,,,,,
208421,https://sofifa.com/player/208421/saul-niguez-esclapez/20/159586,SaÃºl,24,77,Spain,AtlÃ©tico Madrid,85,"CM, LM, RM",Left,3,4,3,High/High,LCM,8.0,2026.0,LCM,6.0,70.0,78.0,79.0,81.0,78.0,78.0,,,,,,
209499,https://sofifa.com/player/209499/fabio-henrique-tavares/20/159586,Fabinho,25,78,Brazil,Liverpool,85,CDM,Right,3,2,3,Medium/High,CDM,3.0,2023.0,,,68.0,69.0,78.0,77.0,85.0,83.0,,,,,,
216267,https://sofifa.com/player/216267/andrew-robertson/20/159586,A. Robertson,25,64,Scotland,Liverpool,85,LB,Left,1,2,3,High/High,LB,26.0,2024.0,LB,3.0,85.0,62.0,77.0,79.0,80.0,75.0,,,,,,
216460,https://sofifa.com/player/216460/jose-maria-gimenez/20/159586,J. GimÃ©nez,24,80,Uruguay,AtlÃ©tico Madrid,85,CB,Right,2,3,2,Medium/High,RCB,2.0,2023.0,,,69.0,45.0,52.0,54.0,86.0,82.0,,,,,,
220440,https://sofifa.com/player/220440/clement-lenglet/20/159586,C. Lenglet,24,81,France,FC Barcelona,85,CB,Left,2,4,2,Medium/High,LCB,15.0,2023.0,,,75.0,45.0,68.0,65.0,86.0,80.0,,,,,,
212198,https://sofifa.com/player/212198/bruno-miguel-borges-fernandes/20/159586,Bruno Fernandes,24,69,Portugal,Sporting CP,85,"CAM, CM",Right,2,4,4,High/High,RCM,8.0,2023.0,RCM,16.0,77.0,83.0,87.0,85.0,65.0,74.0,,,,,,
199482,https://sofifa.com/player/199482/anthony-lopes/20/159586,A. Lopes,28,81,Portugal,Olympique Lyonnais,85,GK,Left,2,2,1,Medium/Medium,GK,1.0,2020.0,,,,,,,,,87.0,80.0,75.0,89.0,64.0,84.0
185122,https://sofifa.com/player/185122/peter-gulacsi/20/159586,P. GulÃ¡csi,29,86,Hungary,RB Leipzig,85,GK,Right,2,2,1,Medium/Medium,GK,1.0,2022.0,GK,1.0,,,,,,,84.0,86.0,81.0,86.0,43.0,84.0
189117,https://sofifa.com/player/189117/roman-burki/20/159586,R. BÃ¼rki,28,85,Switzerland,Borussia Dortmund,85,GK,Right,3,2,1,Medium/Medium,GK,1.0,2021.0,,,,,,,,,86.0,80.0,74.0,89.0,50.0,83.0
192505,https://sofifa.com/player/192505/romelu-lukaku/20/159586,R. Lukaku,26,94,Belgium,Inter,85,ST,Left,3,4,3,Medium/Medium,LS,9.0,2024.0,ST,9.0,75.0,82.0,73.0,72.0,35.0,84.0,,,,,,
192774,https://sofifa.com/player/192774/kostas-manolas/20/159586,K. Manolas,28,83,Greece,Napoli,85,CB,Right,3,2,2,Low/High,RCB,44.0,2022.0,LCB,4.0,82.0,25.0,42.0,60.0,86.0,81.0,,,,,,
194404,https://sofifa.com/player/194404/norberto-murara-neto/20/159586,Neto,29,84,Brazil,FC Barcelona,85,GK,Right,2,2,1,Medium/Medium,SUB,13.0,2023.0,,,,,,,,,86.0,81.0,79.0,82.0,54.0,82.0
197445,https://sofifa.com/player/197445/david-alaba/20/159586,D. Alaba,27,78,Austria,FC Bayern MÃ¼nchen,85,"LB, CB",Left,4,4,3,Medium/Medium,LB,27.0,2021.0,LM,8.0,83.0,73.0,81.0,80.0,80.0,76.0,,,,,,
201399,https://sofifa.com/player/201399/mauro-icardi/20/159586,M. Icardi,26,75,Argentina,Inter,85,ST,Right,3,4,3,Medium/Low,RES,36.0,2021.0,,,75.0,84.0,61.0,77.0,36.0,69.0,,,,,,
204963,https://sofifa.com/player/204963/daniel-carvajal-ramos/20/159586,Carvajal,27,73,Spain,Real Madrid,85,RB,Right,3,3,3,High/High,RB,2.0,2022.0,RB,2.0,81.0,47.0,78.0,81.0,82.0,80.0,,,,,,
208670,https://sofifa.com/player/208670/hakim-ziyech/20/159586,H. Ziyech,26,65,Morocco,Ajax,85,"CAM, RW",Left,3,2,4,High/Medium,RAM,22.0,2022.0,,,80.0,75.0,86.0,83.0,50.0,66.0,,,,,,
41236,https://sofifa.com/player/41236/zlatan-ibrahimovic/20/159586,Z. IbrahimoviÄ,37,95,Sweden,LA Galaxy,85,ST,Right,5,4,5,Medium/Low,ST,9.0,2019.0,,,56.0,88.0,77.0,77.0,34.0,78.0,,,,,,
143076,https://sofifa.com/player/143076/alejandro-gomez/20/159586,A. GÃ³mez,31,68,Argentina,Atalanta,85,"CAM, CF, ST",Right,3,4,4,High/Medium,CAM,10.0,2022.0,,,89.0,78.0,81.0,86.0,39.0,55.0,,,,,,
167664,https://sofifa.com/player/167664/gonzalo-higuain/20/159586,G. HiguaÃ­n,31,89,Argentina,Juventus,85,ST,Right,4,4,3,High/Medium,SUB,21.0,2021.0,,,63.0,85.0,71.0,80.0,31.0,71.0,,,,,,
170890,https://sofifa.com/player/170890/blaise-matuidi/20/159586,B. Matuidi,32,75,France,Juventus,85,"CDM, CM",Left,3,2,2,Medium/High,SUB,14.0,2020.0,LM,14.0,75.0,66.0,76.0,78.0,83.0,81.0,,,,,,
173731,https://sofifa.com/player/173731/gareth-bale/20/159586,G. Bale,29,82,Wales,Real Madrid,85,"RW, LW, ST",Left,4,3,4,Medium/Medium,SUB,11.0,2022.0,RM,11.0,91.0,87.0,82.0,82.0,58.0,76.0,,,,,,
176676,https://sofifa.com/player/176676/marcelo-vieira-da-silva/20/159586,Marcelo,31,75,Brazil,Real Madrid,85,LB,Left,4,4,5,High/Low,LB,12.0,2022.0,,,81.0,74.0,83.0,89.0,77.0,79.0,,,,,,
177413,https://sofifa.com/player/177413/axel-witsel/20/159586,A. Witsel,30,81,Belgium,Borussia Dortmund,85,"CDM, CM",Right,3,4,4,Medium/High,LDM,28.0,2022.0,LCM,6.0,73.0,74.0,80.0,79.0,83.0,81.0,,,,,,
191043,https://sofifa.com/player/191043/alex-sandro-lobo-silva/20/159586,Alex Sandro,28,80,Brazil,Juventus,85,"LB, LM",Left,3,3,3,High/Medium,LB,12.0,2020.0,,,83.0,65.0,77.0,80.0,82.0,82.0,,,,,,
192629,https://sofifa.com/player/192629/iago-aspas-juncal/20/159586,Iago Aspas,31,67,Spain,RC Celta,85,"ST, RW",Left,2,3,3,High/High,RS,10.0,2023.0,SUB,17.0,78.0,84.0,77.0,85.0,35.0,64.0,,,,,,
193747,https://sofifa.com/player/193747/jorge-resurreccion/20/159586,Koke,27,74,Spain,AtlÃ©tico Madrid,85,"RM, LM, CM",Right,3,4,3,High/High,RM,6.0,2024.0,SUB,8.0,68.0,75.0,86.0,82.0,74.0,79.0,,,,,,
198710,https://sofifa.com/player/198710/james-rodriguez/20/159586,J. RodrÃ­guez,27,75,Colombia,Real Madrid,85,"CAM, CM, RM",Left,4,2,4,Medium/Medium,SUB,16.0,2020.0,CAM,10.0,55.0,86.0,87.0,86.0,50.0,63.0,,,,,,
